News_ID,Category,Title
N26926,lifestyle,I'm Afraid to Tell My Male Bosses I'm Pregnant
N49265,foodanddrink,These Cranberry Sauce Recipes Are Perfect for Thanksgiving Dinner
N5124,sports,Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility
N42777,lifestyle,Prince George's Royal Life in Photos
N41387,tv,Can you answer these real Jeopardy questions about TV shows?
N41106,sports,Randall's Rant: Is Tiger already the GOAT without 18 majors?
N37243,finance,The 25 most desirable places to live in the US in 2019
N20139,foodanddrink,40+ Stuffed Pasta Recipes You'll Want To Make Every Night
N9680,tv,'Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick
N35518,health,"I'm Sorry, But Please Do Not Put Your Purse On My Couch"
N60434,lifestyle,It's Not All About the Corgis - Here Are the Royal Family's Other Beloved Pets
N48239,autos,"2020 Toyota Supra GT4 details announced, makes 429 horsepower"
N40045,travel,Tim Burton's Original Art Is on Display at the Neon Museum in Las Vegas
N43946,movies,16 Live-Action Disney Movies in the Works After 'Maleficent: Mistress of Evil' (Photos)
N10836,foodanddrink,100 Genius Tips that Will Make Your Holidays So Much Better
N49585,travel,What's new in Germany and the Low Countries for 2019
N24798,lifestyle,Millennials are killing purse sales and replacing them with backpacks
N64668,autos,23 Things Car Dealerships Don't Want You To Know
N27435,sports,Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season
N3395,tv,TV shows we're most excited about for the rest of the year
N53133,lifestyle,The Absolute Best One-piece Bathing Suits of 2019
N30702,lifestyle,40 Things I Wish I Could Tell My Younger Self
N14538,autos,Why Is This Weird Chevy Colorado Test Mule Trolling Ford HQ?
N37188,lifestyle,20 Words and Phrases You Had No Idea Were Coined in New York City
N1032,sports,All of Kevin Harvick's Monster Energy Series victories
N30953,foodanddrink,PCC Community Markets Plans Its First Fast Casual Restaurant Inside New Ballard Store
N10886,foodanddrink,"Where to Find a Good, Cheap Sandwich in Every State"
N52386,foodanddrink,16 major chains where you can buy plant-based versions of your fast-food favorites
N22218,lifestyle,"Do You Hate Meditating? So Do These People, But They Do It Anyway"
N57388,sports,So far the World Series is one big reminder that you can't predict October baseball
N30389,entertainment,40 Celebrity Mothers and Daughters at the Same Age
N16104,foodanddrink,The Top 50 Fast Food Restaurants in America
N25540,finance,"Take heart, millennials: Investing is within your reach"
N51343,video,Viral college football fan under fire for past offensive tweets
N60774,video,Watch this priest perform a 'spirited' dance at pep rally
N37129,finance,Don't Be Like These Celebrities Convicted of Tax Evasion
N64723,sports,All eyes on Drew Brees as possibility of return nears
N3080,foodanddrink,Restaurants to Satisfy Late Night Cravings in Louisville and Beyond
N40494,lifestyle,Cutest photos of the royal Cambridge kids
N15839,autos,2021 Cadillac Escalade's Interior Spied for Real
N19163,autos,"Veneno Roadster, One:1, One-77, LaFerrari, P1, Veyron headline 25-car Bonham's auction"
N13343,lifestyle,46 Mismatched Nail Ideas You'll Want to Copy Immediately
N60852,weather,In Photos: Flooding across the globe
N61864,news,The News In Cartoons
N36064,finance,More store closings coming: The list of retailers closing locations in 2019
N35788,autos,Extreme Jeep Wrangler Prototype Caught Testing in Michigan
N61167,movies,Must-see biopics
N27190,sports,"Redskins place TE Jordan Reed on injured reserve, ending his season"
N9035,sports,"NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games"
N19651,lifestyle,27 products you only need to buy once in your life
N22957,foodanddrink,Ranking 26 fast-food fried-chicken sandwiches (including Popeyes)
N63006,finance,17 Surprising Ways Penny-Pinching Costs You More
N5159,travel,The Fascinating Story Behind Where 'Hocus Pocus' Was Filmed
N47685,health,Early symptoms of dementia: Be aware of subtle signs
N44720,news,Man killed in officer-involved shooting in St. Louis
N55024,lifestyle,40 Etiquette Mistakes You Need to Stop Making by Age 40
N44162,sports,"Patriots vs. Ravens: 3 keys to the game, fun facts, prediction"
N52683,health,14 Celebs Over 50 Who Are In The Best Shape Of Their Lives
N8185,autos,The Oldsmobile Toronado - was it the ultimate personal car?
N1358,video,"With impeachment inquiry 'concerns' getting addressed, GOP have nowhere to go"
N39817,lifestyle,"28 Surprisingly Good Costco, Walmart, and Target Products"
N54799,health,17 Low-Impact Workouts You Should Try If You're Not In Your 20s Anymore
N34169,lifestyle,"When royals lose their tempers, from the Queen to Kate Middleton"
N33303,finance,"25 Hot Jobs That Pay More Than $100,000 a Year"
N51340,lifestyle,Queen Elizabeth's Cousin Says Royal Family 'Don't Communicate Very Well'
N46021,health,"12 ways your skin can react to stress, according to a dermatologist"
N13855,news,Ikea US president backpedals on meeting parents of children killed by recalled dressers
N16556,news,Multi-vehicle accident on I-64 in James City County causes miles-long backup
N22679,sports,"Dissecting the softer, gentler Tiger Woods"
N24423,foodanddrink,39 Appetizers for a Crowd That Are Easy and Unexpected
N20084,lifestyle,How To Guess Someone's Zodiac Sign
N18393,lifestyle,What Men Find Attractive According To Their Zodiac Sign
N7141,sports,Rams Week 8 snap count analysis
N11663,news,"These College Friends Pledged To Stay In Touch---60 Years Later, They Still Do"
N55435,sports,Photos of College Football Cheerleaders
N39173,finance,5 reasons Gen Xers are struggling with retirement savings
N33874,lifestyle,The Most Important Things Fatherhood Has Taught Me About Being a Man
N44661,lifestyle,Fall Home Maintenance Checklist: 20 Things to Do Every Year
N41976,health,Study: Third-Hand Smoke Can Damage Your Lungs
N36820,finance,"Toad, Pasta and Other Unusual Names for Money Around the World"
N54727,lifestyle,The surprising age differences between your favorite royal couples
N11683,finance,BP profit beats as strong refining offsets lower oil price
N19401,autos,Best website defacement monitoring service of 2019
N31442,foodanddrink,How to Take Chicken Breasts From Frozen to Shredded in an Instant
N47214,news,Here are the lawmakers who are not seeking reelection to Congress in 2020
N31402,foodanddrink,The Best Seafood Restaurant in All 50 States
N61358,health,5 Foods That Can Actually Help Prevent Gray Hair
N48632,finance,How much you must earn to be in the top 10% in your state
N57699,health,"Ahad Israfil, gunshot wound survivor, dies"
N27214,foodanddrink,19 Super Delicious Fall Soups Made From Scratch to Try Now (Including Pumpkin!)
N25174,weather,"Winter Storm Warning For Metro Denver, Boulder: Update"
N51426,music,"Kanye West's 'Jesus is King' album still isn't here, fans aren't happy"
N41013,news,"Doug Schoen: Hillary vs. Trump in 2020? If Clinton is serious, here's best way for her to defeat the president"
N19888,sports,"Titans force 4 turnovers by Winston, hold off Buccaneers"
N45191,lifestyle,Amazon Says These Are Its Funniest Customer Reviews
N60535,sports,"Josh Gordon, New Patriots Receiver Mohamed Sanu Share Laugh At Practice"
N47600,lifestyle,People Told My Daughter With a Disability She Wouldn't Be Able to Do Everything She Does Today
N35318,news,It's illegal to leave your pumpkins outside in Maricopa County
N11360,health,This is how much water you need to drink for weight loss
N13566,lifestyle,30 Least Expensive Dog Breeds
N24417,sports,Cavs could put claim on Alfonzo McKinnie after surprising release from Warriors
N59891,news,Maryland police ID man killed in crash of semi hauling beer
N30236,sports,American teenager Gauff reaches maiden WTA final in Linz
N64593,health,An avocado a day could lower your 'bad' cholesterol levels and reduce your risk of heart disease
N45970,news,The Latest: House measure condemns Trump's Syria withdrawal
N54542,autos,Police searching for thief stealing cars at Atlanta airport
N30290,foodanddrink,The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu
N51844,foodanddrink,29 Thanksgiving Menus That Will Make November So Much Easier
N7992,travel,You can now stay in a giant guitar-shaped hotel that you have to see to believe
N49374,lifestyle,Princess Beatrice's fashion hits and misses over the years
N14176,foodanddrink,Blueberry Dump Cake Satisfies Every Sweet Tooth
N60584,health,"Those Grueling Workouts May Not Help You Lose Belly Fat, but Here's What Will"
N10,health,7 Running Workouts for Weight Loss
N46830,video,'This is not normal': Sen. Manchin reacts to Vindman attacks
N41147,entertainment,This Sony PS5 feature could end the PlayStation vs Xbox battle once and for all
N61914,finance,50 Great Jobs for Retirees
N21253,lifestyle,"5 Incredible, Research-Backed Benefits of Having a Passion Outside Work"
N24905,news,Grieder: Special election in House District 28 portends a deeply polarized 2020 election cycle
N65207,health,"Tennessee has deadliest year yet for drug overdoses, as nearby states improve"
N16430,video,This Rare Albino Hedgehog Was Rescued In California
N35616,finance,Why more employers are helping workers pay off student loans
N23386,lifestyle,I'm an American who moved to Canada  here's why I'll never move back
N43484,lifestyle,The Top 25 Holiday Gifts For Women That Will Be Flying Off the Shelves in 2019
N59794,lifestyle,40 Things (Probably) Only Baby Boomers Will Remember
N15483,health,It's National Check Your Meds Day
N62736,entertainment,The 20 best horror games of all time
N35080,finance,5 Excellent Dividend Stocks to Buy for the Holiday Season
N19146,finance,The most (and least) tax-friendly states for retirees
N17041,music,The Eagles Soar and Perform 'Hotel California' For the First Time in Its Entirety in Las Vegas
N48072,news,Sacramento police look for driver in deadly hit-and-run
N18287,foodanddrink,From McDonald's Szechuan Sauce to the Popeyes' sandwich: 6 out-of-control fast-food menu launches that shook America to its core
N41146,finance,GM Spring Hill could ramp up output soon as union leaders laud stand in national strike
N31161,sports,Astros have a lot of baseball left despite two bad losses to Nationals
N37461,lifestyle,Queen Elizabeth Once Trolled a Group of Tourists Who Didn't Recognize Her at Balmoral Castle
N39490,travel,"Lenape protest groundbreaking of Passaic's new Dundee Island Park, say it's 'sacred ground'"
N8691,autos,The Bugatti Chiron Super Sport 300+ Briefly Went Airborne During Its Record Run
N26444,sports,Cincinnati vs UConn Football History
N30868,health,How to Spot Common Sneaky Foods That Contain Gluten
N56406,autos,Bicyclist struck by train in Beverly; Delays on Newburyport/Rockport line
N56618,news,CNN and MSNBC hit Ingraham guest for accusing White House official testifying in impeachment inquiry of 'espionage'
N5373,lifestyle,"If These Spooky Quotes Don't Get You in the Halloween Mood, Nothing Will"
N36464,autos,Portion of I-90 reopened after two killed in head-on collision during OSP chase in Euclid
N38308,health,45 Sneaky Signs You're Unhealthier Than You May Think
N12440,movies,Trailer - One Last Night
N2540,video,Pakistan PM reveals what he told Prince William at lunch
N42716,lifestyle,Trolls Told Me I'm Too Ugly To Post Pics. Then I Did And Something Incredible Happened.
N39638,finance,Want to retire and live in an RV full time? 8 things you need to know
N24900,sports,Bare Knuckle Knockout! Watch Gabriel Gonzaga Whup Bigfoot Silva In Tampa
N9947,finance,10 Job Skills Worth Six-Figure Salaries
N25567,movies,The Fast and the Furious Director Rob Cohen Accused of Sexual Assault
N25205,lifestyle,14 hilarious photos that prove Kate Middleton is just like us
N61681,lifestyle,18 Electric Wiring Fails That Will Make You Wince
N59709,sports,Adrian Peterson had to 'hold back tears' in return to Minnesota
N57930,lifestyle,I Quit My Glamorous Corporate Job to Travel the World
N9013,news,Southwest flight attendant alleges pilots live streamed video from camera in lavatory
N15651,finance,"The penthouse of NYC's Woolworth Building just got a $31 million price cut. Check out 'The Pinnacle,' which occupies the top 5 floors of the iconic, green-roofed skyscraper."
N63682,lifestyle,12 Life-Changing Career Tips From Navy SEALs
N51784,sports,Martin Truex Jr. through the years
N41869,foodanddrink,5 Turkey Cooking Tips That'll Guarantee You Have the Perfect Bird
N13882,sports,Adrian Peterson had to 'hold back tears' in return to Minnesota
N6258,lifestyle,These Room Divider Ideas Will Transform Your Home in an Instant
N27641,video,Buttigieg: 'Not going to get in the middle' of Hillary Clinton attacks on Tulsi Gabbard
N50246,news,"I quit my job, moved to Alaska to bake bread   and rebuilt my identity"
N60798,foodanddrink,10 Turkey Sandwich Recipes for All Your Thanksgiving Leftovers
N37423,weather,"Suez says lead levels meet federal standards, but only when you round down"
N23937,lifestyle,6 gorgeous royal family heirlooms that Kate Middleton wears regularly
N43734,sports,Power Rankings: Kyle Busch putting pieces together before favorable Round of 8
N11593,finance,What millennials get wrong about Social Security
N27715,lifestyle,Need the Perfect Last-Minute Gift? We Got You Covered
N23874,movies,Celebrities at their Hollywood hand and footprint ceremonies
N3565,sports,Wolverines in the NFL: Top performances from Week 8
N26766,autos,Tanker truck bursts into flames following crash in Warren County
N61203,lifestyle,"Zendaya, Nicole Kidman and More Best Dressed Stars at Elle's Women in Hollywood Event"
N1244,lifestyle,3 billion fewer birds are in North America now than in 1970
N9774,sports,Man accused of hatchet attack charged with attempted murder
N10538,news,"25-year-old killed in Arlington shooting, police say"
N20833,travel,Scotland's majestic Isle of Skye
N5815,finance,How Costco and other bargain stores stay so cheap
N46851,autos,The most famous automotive advertising slogans - US edition
N59874,lifestyle,11 Phrases That Will Make You More Successful at Work
N19513,finance,"These are best and worst stocks for the 'data era,' Morgan Stanley says"
N3649,lifestyle,Did you know Amazon has coupons? This step-by-step guide will help you instantly save
N6632,entertainment,Star Tracks: Celebs on Vacation
N28561,news,"Nestor bringing heavy rain to Southeast, mid-Atlantic after spawning tornadoes in Florida"
N25024,sports,Sports on the air: Daily TV and radio schedule
N41208,finance,How retirees can make required minimum distributions pain free
N61178,entertainment,Star Tracks: Celebs at Home
N4015,video,"Following Trump's endorsement, Spicer has emotional night on 'Dancing With the Star'"
N4586,autos,Chevy Equinox Discounted Up To 20 Percent In November
N32515,lifestyle,The Most Iconic Short Wedding Dresses of All Time And How to Get the Look
N4147,music,"José José, Legendary Mexican Singer, Dead at 71"
N58146,lifestyle,14 Wild Dog And Cat Species That Are Amazingly Rare
N34122,foodanddrink,How to make hot chocolate so rich it coats your spoon
N3528,lifestyle,60 Things No Spouse Ever Wants to Hear
N39809,sports,"Redskins Rumors: If Bruce Allen won't pick up the phone to trade Trent Williams, the Browns could go shopping for a LT in the NFC East"
N1810,lifestyle,Where Do the Royals Reside? This Handy Guide Will Tell You Who Lives in Which Palace
N14042,autos,Latest Automotive Safety Recalls
N12081,lifestyle,50 Times Meghan Markle Has Broken Royal Protocol
N58073,travel,Crews spray down Golden Ray cargo ship after white smoke billows out
N27287,autos,The U.S. Army Is Developing a Better Bullet
N48549,sports,Heat suspend Dion Waiters one game for 'conduct detrimental to the team'
N52529,sports,Connor Barwin: NFL retirement announced by former UC Bearcats standout
N16077,sports,The best College GameDay signs from Memphis
N27063,lifestyle,15 Abandoned Places That You Can See Only in Pictures
N13305,finance,Here's why small investors aren't buying the 'index funds bubble' argument
N7348,news,The best water bottles in 2019 that'll make you want to drink more water
N49134,sports,Matt Tifft will miss rest of season after suffering seizure at Martinsville
N34722,tv,Here's when all 28 new Lifetime Christmas movies will air
N5599,sports,NFL rushing title likely to go down to the wire
N49830,music,Katy Perry's biggest career moments
N36911,sports,"NFL Rumors: Why Josh Gordon Fell Out Of Favor, Was Released By Patriots"
N27394,autos,1988 Pontiac Fiero Transformed Into An Extreme Custom Supercar
N65217,news,Monument Circle will become a big movie screen with lights Saturday. Here's how it works.
N49369,music,15 Groundbreaking Female Rappers Who Changed The Industry
N64413,foodanddrink,These Vegetarian Meal Ideas Are so Tasty (and Perfect for Christmastime)
N37414,music,The best hair metal bands
N27137,foodanddrink,The Food Truck Everyone Is Obsessed With in Your State
N34406,news,"Sen. Sinema's new bill would allow families' names to be put on veterans' headstones, too"
N9,foodanddrink,Check out these unique eateries formerly known as other things
N15254,finance,"WeWork set to sack 2,000 staff as anger toward founder Adam Neumann grows"
N33161,weather,"Home destroyed, but dishes left intact: Neighborhood hit hard by Dallas tornado one of the city's most exclusive"
N55248,sports,Dallas-Fort Worth football teams undefeated through Week 8 of the 2019 season
N7771,lifestyle,I Quit Instagram For Three Months to Heal My Idiot Brain
N30781,autos,Lowriders in Vegas! See Lowrider Photos From the 2019 Las Vegas Super Show
N31552,lifestyle,The Best Pre-Black Friday and Cyber Monday Deals of 2019
N30344,lifestyle,Snakehead fish that survives on land was discovered in Georgia. Officials want it dead
N19490,entertainment,"Louisville's own Jennifer Lawrence ties the knot in a private ceremony, reports say"
N48774,lifestyle,How to Downsize Your Home: 12 Easy Tips
N39751,foodanddrink,Costco Is Going To Start Selling The Better Than Beef Burger
N17108,finance,Governor Gavin Newsom calls for investigation into California gas prices
N28035,news,"Gabbard, in defiant video, links Clinton 'smears' to her previous Sanders endorsement"
N49198,lifestyle,These Are The Oldest Universities In America
N28442,finance,20 job hunting tips for baby boomers
N62084,news,House Republicans try to force a vote on censuring Adam Schiff
N5754,health,I Brushed My Teeth With Charcoal For 7 Days: Here's What My Mouth Looked Like By The End
N60941,foodanddrink,17 Things You Didn't Know Mayonnaise Could Do
N19262,sports,Suns Tuesdays: Mark Bryant grinding; Monty Williams right coach; Booker vs. Beverley; Josh Jackson in G-League
N20723,music,Jennifer Lopez Shares BEAUTIFUL Pics With Alex Rodriguez At Their Elegant Engagement Party!
N35774,foodanddrink,What Is That White Stuff in My Raw Chicken?
N43916,foodanddrink,18 celebrity restaurants that failed
N20513,foodanddrink,Our 73 Best Pie Recipes of All Time
N8798,health,17 Reasons Why Your Breath Smells Bad
N10376,health,"Meet SCAD, a Major Cause of Heart Attacks in Women 50 and Under"
N24868,health,Watch: Man Shares Time-Lapse Video of Six-Month Weight-Loss Journey
N7951,news,"British police investigating truck deaths arrest 2 more, driver still in custody"
N60467,video,Puppy adorably escapes pen to join doggy friends
N58332,entertainment,"From cat names to fruit, here are 11 bizarre things celebrities have tried to trademark"
N18885,sports,The Drive: Can Michael Dickson fulfill the hype?
N21041,movies,Trailer - Midway
N16032,health,"If You Have a Slow Metabolism, Here Are 5 Doctor-Approved Ways to Burn Belly Fat"
N21936,lifestyle,80 Old Items Fantastically Fit for Repurposing
N27822,news,"The plan to close Rikers Island, explained"
N44133,foodanddrink,Chicago's First Krispy Kreme in 14 Years Opens Today
N61079,lifestyle,29 Elf on the Shelf Ideas Your Child Will Find Truly Magical
N55625,lifestyle,"Child falls from 9th floor balcony in White Oak, Maryland, officials say"
N46832,health,Tips for Getting a Mammogram
N44959,lifestyle,Tour the abandoned Outlaw House with an FBI connection
